,Unnamed: 0,lat,lon,alt,bac,ano,mes,pr_local,pnt,IDW
1857,,-8.238549579800534,-36.5,,,1998,10,,-8.238549579800534;-36.5,0.0
1858,,-8.238549579800534,-36.5,,,1998,11,,-8.238549579800534;-36.5,0.0
1859,,-8.238549579800534,-36.5,,,1998,12,,-8.238549579800534;-36.5,1.404666078356568
1860,,-8.238549579800534,-36.5,,,1999,1,,-8.238549579800534;-36.5,12.836719678242659
1861,,-8.238549579800534,-36.5,,,1999,2,,-8.238549579800534;-36.5,14.365873939601299
1862,,-8.238549579800534,-36.5,,,1999,3,,-8.238549579800534;-36.5,48.54442787065686
1863,,-8.238549579800534,-36.5,,,1999,4,,-8.238549579800534;-36.5,1.117342162186954
1864,,-8.238549579800534,-36.5,,,1999,5,,-8.238549579800534;-36.5,80.61516871998644
1865,,-8.238549579800534,-36.5,,,1999,6,,-8.238549579800534;-36.5,8.683708443347761
1866,,-8.238549579800534,-36.5,,,1999,7,,-8.238549579800534;-36.5,42.35397971790855
1867,,-8.238549579800534,-36.5,,,1999,8,,-8.238549579800534;-36.5,0.15962114526779178
1868,,-8.238549579800534,-36.5,,,1999,9,,-8.238549579800534;-36.5,0.0
1869,,-8.238549579800534,-36.5,,,1999,10,,-8.238549579800534;-36.5,10.95519655366979
1870,,-8.238549579800534,-36.5,,,1999,11,,-8.238549579800534;-36.5,4.735805096250377
1871,,-8.238549579800534,-36.5,,,1999,12,,-8.238549579800534;-36.5,55.268466214536645
1872,,-8.238549579800534,-36.5,,,2000,1,,-8.238549579800534;-36.5,55.388648085184656
1873,,-8.238549579800534,-36.5,,,2000,2,,-8.238549579800534;-36.5,92.74838891129488
1874,,-8.238549579800534,-36.5,,,2000,3,,-8.238549579800534;-36.5,89.40157904667126
1875,,-8.238549579800534,-36.5,,,2000,4,,-8.238549579800534;-36.5,101.48684446571163
1876,,-8.238549579800534,-36.5,,,2000,5,,-8.238549579800534;-36.5,19.91075576005646
1877,,-8.238549579800534,-36.5,,,2000,6,,-8.238549579800534;-36.5,23.466212957428407
1878,,-8.238549579800534,-36.5,,,2000,7,,-8.238549579800534;-36.5,11.27133311561211
1879,,-8.238549579800534,-36.5,,,2000,8,,-8.238549579800534;-36.5,27.563938769588002
1880,,-8.238549579800534,-36.5,,,2000,9,,-8.238549579800534;-36.5,5.878151688517671
1881,,-8.238549579800534,-36.5,,,2000,10,,-8.238549579800534;-36.5,0.0
1882,,-8.238549579800534,-36.5,,,2000,11,,-8.238549579800534;-36.5,3.6187808964951644
1883,,-8.238549579800534,-36.5,,,2000,12,,-8.238549579800534;-36.5,77.10297821159648
1884,,-8.238549579800534,-36.5,,,2001,1,,-8.238549579800534;-36.5,12.05892440278686
1885,,-8.238549579800534,-36.5,,,2001,2,,-8.238549579800534;-36.5,6.959481933675723
1886,,-8.238549579800534,-36.5,,,2001,3,,-8.238549579800534;-36.5,141.68358613958745
1887,,-8.238549579800534,-36.5,,,2001,4,,-8.238549579800534;-36.5,29.874284033627795
1888,,-8.238549579800534,-36.5,,,2001,5,,-8.238549579800534;-36.5,2.937029072927369
1889,,-8.238549579800534,-36.5,,,2001,6,,-8.238549579800534;-36.5,93.52370703824954
1890,,-8.238549579800534,-36.5,,,2001,7,,-8.238549579800534;-36.5,22.374045354583913
1891,,-8.238549579800534,-36.5,,,2001,8,,-8.238549579800534;-36.5,1.6753253710805496
1892,,-8.238549579800534,-36.5,,,2001,9,,-8.238549579800534;-36.5,2.358684375114648
1893,,-8.238549579800534,-36.5,,,2001,10,,-8.238549579800534;-36.5,53.7601161993093
1894,,-8.238549579800534,-36.5,,,2001,11,,-8.238549579800534;-36.5,0.2553938324284669
1895,,-8.238549579800534,-36.5,,,2001,12,,-8.238549579800534;-36.5,6.2475381196370385
1896,,-8.238549579800534,-36.5,,,2002,1,,-8.238549579800534;-36.5,139.97288716882537
1897,,-8.238549579800534,-36.5,,,2002,2,,-8.238549579800534;-36.5,79.44841478913159
1898,,-8.238549579800534,-36.5,,,2002,3,,-8.238549579800534;-36.5,69.28528150856938
1899,,-8.238549579800534,-36.5,,,2002,4,,-8.238549579800534;-36.5,31.540002589426216
1900,,-8.238549579800534,-36.5,,,2002,5,,-8.238549579800534;-36.5,44.42818778955652
1901,,-8.238549579800534,-36.5,,,2002,6,,-8.238549579800534;-36.5,23.434414030246938
1902,,-8.238549579800534,-36.5,,,2002,7,,-8.238549579800534;-36.5,7.221206901440407
1903,,-8.238549579800534,-36.5,,,2002,8,,-8.238549579800534;-36.5,1.7069692829182672
1904,,-8.238549579800534,-36.5,,,2002,9,,-8.238549579800534;-36.5,0.0
1905,,-8.238549579800534,-36.5,,,2002,10,,-8.238549579800534;-36.5,0.0
1906,,-8.238549579800534,-36.5,,,2002,11,,-8.238549579800534;-36.5,1.963340086793839
1907,,-8.238549579800534,-36.5,,,2002,12,,-8.238549579800534;-36.5,42.87667093339929
1908,,-8.238549579800534,-36.5,,,2003,1,,-8.238549579800534;-36.5,30.09424950774077
1909,,-8.238549579800534,-36.5,,,2003,2,,-8.238549579800534;-36.5,29.351461078511438
1910,,-8.238549579800534,-36.5,,,2003,3,,-8.238549579800534;-36.5,77.71996902687484
1911,,-8.238549579800534,-36.5,,,2003,4,,-8.238549579800534;-36.5,20.164257497704675
1912,,-8.238549579800534,-36.5,,,2003,5,,-8.238549579800534;-36.5,33.873359872950395
1913,,-8.238549579800534,-36.5,,,2003,6,,-8.238549579800534;-36.5,11.280135360540486
1914,,-8.238549579800534,-36.5,,,2003,7,,-8.238549579800534;-36.5,0.29290861392372763
1915,,-8.238549579800534,-36.5,,,2003,8,,-8.238549579800534;-36.5,12.465140834886212
1916,,-8.238549579800534,-36.5,,,2003,9,,-8.238549579800534;-36.5,1.0310926667731068
1917,,-8.238549579800534,-36.5,,,2003,10,,-8.238549579800534;-36.5,0.0
1918,,-8.238549579800534,-36.5,,,2003,11,,-8.238549579800534;-36.5,0.0
1919,,-8.238549579800534,-36.5,,,2003,12,,-8.238549579800534;-36.5,2.6570409273119493
