,lat,lon,ano,mes,pr
1623,-8.238549579800534,321.5,2022,4,0.0032405624341399998
1624,-8.238549579800534,321.5,2022,5,0.0005463343305
1625,-8.238549579800534,321.5,2022,6,0.00042230683293
1626,-8.238549579800534,321.5,2022,7,8.1744375078e-05
1627,-8.238549579800534,321.5,2022,8,4.72157428782864e-05
1628,-8.238549579800534,321.5,2022,9,3.9542875215556014e-06
1629,-8.238549579800534,321.5,2022,10,1.5692887412075194e-05
1630,-8.238549579800534,321.5,2022,11,3.9088443147196e-05
1631,-8.238549579800534,321.5,2022,12,0.001707216098
1632,-8.238549579800534,321.5,2023,1,0.0012984457934857
1633,-8.238549579800534,321.5,2023,2,0.0024543634302
1634,-8.238549579800534,321.5,2023,3,0.0057100366596
1635,-8.238549579800534,321.5,2023,4,0.0025269728962830002
1636,-8.238549579800534,321.5,2023,5,0.002320368238
1637,-8.238549579800534,321.5,2023,6,0.00010744472853
1638,-8.238549579800534,321.5,2023,7,5.7002966625888e-05
1639,-8.238549579800534,321.5,2023,8,3.6569122876263e-05
1640,-8.238549579800534,321.5,2023,9,1.21097362727815e-05
1641,-8.238549579800534,321.5,2023,10,4.5031968232419e-05
1642,-8.238549579800534,321.5,2023,11,0.0005136581634466735
1643,-8.238549579800534,321.5,2023,12,0.0008431054402080001
1644,-8.238549579800534,321.5,2024,1,0.0021760136221030003
1645,-8.238549579800534,321.5,2024,2,0.00198812588681
1646,-8.238549579800534,321.5,2024,3,0.00251596145944
1647,-8.238549579800534,321.5,2024,4,0.0024905185203
1648,-8.238549579800534,321.5,2024,5,0.0035292153789
1649,-8.238549579800534,321.5,2024,6,0.0002367817707
1650,-8.238549579800534,321.5,2024,7,0.0001774566667621
1651,-8.238549579800534,321.5,2024,8,4.2764562980792e-05
1652,-8.238549579800534,321.5,2024,9,1.8939001101079537e-05
1653,-8.238549579800534,321.5,2024,10,6.742856917353e-05
1654,-8.238549579800534,321.5,2024,11,0.0011213353089003424
1655,-8.238549579800534,321.5,2024,12,0.000177146860022726
1656,-8.238549579800534,321.5,2025,1,0.0015547253000351249
1657,-8.238549579800534,321.5,2025,2,0.002441975109086
1658,-8.238549579800534,321.5,2025,3,0.0054605492952
1659,-8.238549579800534,321.5,2025,4,0.0048624101265
1660,-8.238549579800534,321.5,2025,5,0.0020088096528
1661,-8.238549579800534,321.5,2025,6,0.00013034485818138
1662,-8.238549579800534,321.5,2025,7,6.235328261213e-05
1663,-8.238549579800534,321.5,2025,8,5.63920568112396e-05
1664,-8.238549579800534,321.5,2025,9,5.700008499168916e-05
1665,-8.238549579800534,321.5,2025,10,1.2889133293364e-05
1666,-8.238549579800534,321.5,2025,11,1.4988014403e-05
1667,-8.238549579800534,321.5,2025,12,0.000256841393469
1668,-8.238549579800534,321.5,2026,1,0.00070650215466237
1669,-8.238549579800534,321.5,2026,2,0.0026625136926
1670,-8.238549579800534,321.5,2026,3,0.00361096549
1671,-8.238549579800534,321.5,2026,4,0.0034507953749
1672,-8.238549579800534,321.5,2026,5,0.0007805786504
1673,-8.238549579800534,321.5,2026,6,0.00018399638914010002
1674,-8.238549579800534,321.5,2026,7,0.0001245655827736
1675,-8.238549579800534,321.5,2026,8,2.4127757290931e-05
1676,-8.238549579800534,321.5,2026,9,1.05371053832172e-05
1677,-8.238549579800534,321.5,2026,10,2.795536859e-06
1678,-8.238549579800534,321.5,2026,11,6.99670422489e-06
1679,-8.238549579800534,321.5,2026,12,0.000706456364292
1680,-8.238549579800534,321.5,2027,1,0.00261112765698
1681,-8.238549579800534,321.5,2027,2,0.0055333985239
1682,-8.238549579800534,321.5,2027,3,0.0039940162295
1683,-8.238549579800534,321.5,2027,4,0.0026719164993
1684,-8.238549579800534,321.5,2027,5,0.00014970579616
1685,-8.238549579800534,321.5,2027,6,7.2593987962087e-05
1686,-8.238549579800534,321.5,2027,7,9.75476580157e-05
1687,-8.238549579800534,321.5,2027,8,2.715941374884e-05
1688,-8.238549579800534,321.5,2027,9,4.52880248927245e-05
1689,-8.238549579800534,321.5,2027,10,2.9674278480179e-06
1690,-8.238549579800534,321.5,2027,11,1.1936775372317e-05
1691,-8.238549579800534,321.5,2027,12,0.00033547330857293725
1692,-8.238549579800534,321.5,2028,1,0.00148343131832162
1693,-8.238549579800534,321.5,2028,2,0.0007846098091372
1694,-8.238549579800534,321.5,2028,3,0.00188171533336588
1695,-8.238549579800534,321.5,2028,4,0.00199648201624
1696,-8.238549579800534,321.5,2028,5,0.001020021917979
1697,-8.238549579800534,321.5,2028,6,0.0002368777421
1698,-8.238549579800534,321.5,2028,7,7.892461747897e-05
1699,-8.238549579800534,321.5,2028,8,0.00016856715969439998
1700,-8.238549579800534,321.5,2028,9,0.00010098371812021099
1701,-8.238549579800534,321.5,2028,10,0.00012939747768554
1702,-8.238549579800534,321.5,2028,11,8.98223719853e-05
1703,-8.238549579800534,321.5,2028,12,0.0008920406494238
1704,-8.238549579800534,321.5,2029,1,0.00107277741002167
1705,-8.238549579800534,321.5,2029,2,0.0029229709445999998
1706,-8.238549579800534,321.5,2029,3,0.0037946613968
1707,-8.238549579800534,321.5,2029,4,0.003499324542
1708,-8.238549579800534,321.5,2029,5,0.00052881166878
1709,-8.238549579800534,321.5,2029,6,0.00020327209443
1710,-8.238549579800534,321.5,2029,7,5.4357234227e-05
1711,-8.238549579800534,321.5,2029,8,4.2257599798914e-05
1712,-8.238549579800534,321.5,2029,9,4.3361525684502895e-06
1713,-8.238549579800534,321.5,2029,10,0.0002091278239662665
